"id","type","date","description","amount","category"
"435","Expense","2023-10-11","Myself(Bank)","597261","Family"
"436","Expense","2023-10-11","JB Bank","1041589","Loan"
"437","Expense","2023-10-12","Pending","10999","Shoping"
"438","Expense","2023-10-14","Pending","44312","Shoping"
"439","Expense","2023-10-14","Pending","12900","Shoping"
"440","Expense","2023-10-16","Pending","26200","Shoping"
"441","Expense","2023-10-16","Haircut","12000","Others"
"442","Expense","2023-10-16","Sim Bill","7900","Others"
"443","Expense","2023-10-22","Bank(Myself)","1179812","Family"
"444","Expense","2023-10-27","Bank(Myself)","696899","Family"
"445","Expense","2023-10-28","Meat,etc","88000","Shoping"
"446","Expense","2023-10-28","Pending","134650","Shoping"
"447","Expense","2023-10-29","Pending","8600","Shoping"
"448","Expense","2023-10-30","Pending","79000","Shoping"
"449","Expense","2023-10-31","Pending","13240","Shoping"
"450","Expense","2023-11-01","Pending","60380","Shoping"
"451","Expense","2023-11-04","Pending","8232","Shoping"
"452","Expense","2023-11-05","Pending","14560","Shoping"
"453","Expense","2023-11-10","Master Card Bill","638054","Master Card Bill"
"454","Expense","2023-11-11","Lotto","20000","Others"
"455","Expense","2023-11-12","Pending","10000","Fuel"
"456","Expense","2023-11-13","Pending","15100","Shoping"
"457","Expense","2023-11-13","Pending","25834","Shoping"
"458","Expense","2023-11-13","JB Bank","1044843","Loan"
"459","Expense","2023-11-14","Pending","9220","Shoping"
"460","Expense","2023-11-15","Myself","562841","Family"
"461","Expense","2023-11-15","Sim Bill","7900","Others"
"462","Expense","2023-11-19","Pending","47990","Shoping"
"463","Expense","2023-11-20","Pending","114000","Others"
"464","Expense","2023-11-24","Pending","16030","Shoping"
"465","Expense","2023-12-02","Pending","15500","Shoping"
"466","Expense","2023-12-03","Pending","22000","Shoping"
"467","Expense","2023-12-03","Daiso","3000","Shoping"
"468","Expense","2023-12-08","Pending","13813","Others"
"469","Expense","2023-12-08","Master Card Bill","577957","Master Card Bill"
"470","Expense","2023-12-11","JB Bank","1033271","Loan"
"471","Expense","2023-12-14","Bank(My Account)","804500","Family"
"472","Expense","2023-12-17","Pending","125860","Shoping"
"473","Expense","2023-12-17","Pending","1450","Car Rent"
"474","Expense","2023-12-18","Pending","25700","Shoping"
"475","Expense","2023-12-25","Pending","10440","Shoping"
"476","Expense","2023-12-28","Pending","126930","Shoping"
"477","Expense","2023-12-28","Sim Bill","7900","Others"
"478","Expense","2023-12-29","Lotto","20000","Others"
"479","Expense","2023-12-31","Pending","2900","Car Rent"
"480","Expense","2023-12-31","Oil,Vegetables etc","92000","Shoping"
"481","Expense","2023-12-31","Masala","22490","Shoping"
"482","Expense","2024-05-01","Nagad(Mysel)","63856","Family"
"483","Expense","2024-05-05","Mobile Recharge","1246","Family"
